Peak_I30_mm/h,PropHM23,dNBR/1000,KF,Response
9.2,0.069899225,0.124577499,0.1499999,0
9.2,0.055842156,0.007158207,0.1500001,0
20.8,0.055842156,0.007158207,0.1500001,0
8.8,0.055842156,0.007158207,0.1500001,0
15.2,0.055842156,0.007158207,0.1500001,0
9.2,0.191143608,0.160445908,0.15,0
20.8,0.191143608,0.160445908,0.15,0
8.8,0.191143608,0.160445908,0.15,0
15.2,0.191143608,0.160445908,0.15,0
20.8,0.308686066,0.217683075,0.1571436,0
8.8,0.308686066,0.217683075,0.1571436,0
15.2,0.308686066,0.217683075,0.1571436,0
14.0,0.455157585,0.155421295,0.24,1
6.8,0.379102058,0.193886093,0.1500001,0
6.8,0.385669441,0.193966034,0.1500001,0
20.8,0.057058282,0.071743668,0.1499998,0
8.8,0.057058282,0.071743668,0.1499998,0
15.2,0.057058282,0.071743668,0.1499998,0
20.8,0.057399421,0.071371964,0.1499998,0
8.8,0.057399421,0.071371964,0.1499998,0
15.2,0.057399421,0.071371964,0.1499998,0
4.0,0.530929413,0.211981415,0.1500001,0
5.2,0.530929413,0.211981415,0.1500001,0
4.8,0.530929413,0.211981415,0.1500001,0
4.0,0.565550728,0.21501004,0.15,0
5.2,0.565550728,0.21501004,0.15,0
4.8,0.565550728,0.21501004,0.15,0
14.0,0.672739868,0.201413345,0.2353429,0
